Name,Size at Posting,Created,Type,Total_Engagement,Likes,Comments,Views,URL,Link,picture,Description
teamusa,712646,6/25/2017 17:10,photo,5537,5480,57,0,https://www.instagram.com/p/BVxvIS0laRE/,https://www.instagram.com/p/BVxvIS0laRE/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19379839_104890756806511_5639456067269165056_n.jpg,That feeling when.... **caption this**
teamusa,712646,6/25/2017 15:24,video,3762,3761,1,19930,https://www.instagram.com/p/BVxjBGolkYR/,https://www.instagram.com/p/BVxjBGolkYR/,https://scontent.cdninstagram.com/t51.2885-15/e15/c0.80.640.640/19436878_842999269209383_4057522717690167296_n.jpg,@sanyarichiross and @atoboldon are warmed up and ready for tonight's finals at 4p ET on NBC!
teamusa,712533,6/24/2017 18:07,photo,13540,13526,14,0,https://www.instagram.com/p/BVvQ8U0FLpl/,https://www.instagram.com/p/BVvQ8U0FLpl/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19379801_1083782771753539_565813794664611840_n.jpg,@emmacoburn takes home the 3000 steeplechase WIN with a time of 9:20.28. @courtneyfrerichs and @steeple_squigs take 2nd and 3rd. CONGRATS!!
teamusa,712533,6/24/2017 15:26,photo,7059,7058,1,0,https://www.instagram.com/p/BVu-hvilwUV/,https://www.instagram.com/p/BVu-hvilwUV/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19380008_234675377039775_6600281689228836864_n.jpg,"@treyhardee
???
basking in the glory of all her hard work!  Frankie's ready for #London2017!"
teamusa,712533,6/24/2017 13:08,video,6551,6547,4,37910,https://www.instagram.com/p/BVuupy_FuPc/,https://www.instagram.com/p/BVuupy_FuPc/,https://scontent.cdninstagram.com/t51.2885-15/e15/c236.0.607.607/19429321_543123782745059_5934517017674514432_n.jpg,Did you miss last night's #SCS2017 action? ???? Don't worry. We have your back.
teamusa,712064,6/23/2017 22:52,photo,6062,6060,2,0,https://www.instagram.com/p/BVtMuDmlKl5/,https://www.instagram.com/p/BVtMuDmlKl5/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19367508_290684024675021_5898110091734810624_n.jpg,@vashtizzle making tonight's high jump look easy! ??
teamusa,712064,6/23/2017 15:01,photo,6175,6161,14,0,https://www.instagram.com/p/BVsW1dvlMrg/,https://www.instagram.com/p/BVsW1dvlMrg/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c48.0.958.958/19367124_1893453100914409_1725066076770795520_n.jpg,"Happy #OlympicDay from @la2024, @maiashibutani, @alexshibutani and #TeamUSA! How are you celebrating today? ???"
teamusa,712064,6/23/2017 2:01,photo,6012,6006,6,0,https://www.instagram.com/p/BVq9i67FHye/,https://www.instagram.com/p/BVq9i67FHye/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/19379409_1368868136481535_2100779065521733632_n.jpg,"The men's 10,000m wraps up day 1?? of #SCS2017 presented by @comcast! ????"
teamusa,711890,6/22/2017 21:32,video,4441,4437,4,14551,https://www.instagram.com/p/BVqeymBlnSb/,https://www.instagram.com/p/BVqeymBlnSb/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/e15/c0.90.720.720/19379532_102300233730330_6321982888078213120_n.jpg,Day 1?? of #SCS2016 presented by @comcast is in full swing! ??????stream live NBCSports.com/gold
teamusa,711799,6/21/2017 19:08,photo,4961,4953,8,0,https://www.instagram.com/p/BVnphJHFEb1/,https://www.instagram.com/p/BVnphJHFEb1/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19227810_310584332723181_7695447046324486144_n.jpg,"Say ??! Happy #NationalSelfieDay, from #TeamUSA! ??"
teamusa,711799,6/21/2017 14:38,photo,6037,6015,22,0,https://www.instagram.com/p/BVnKlEvl2WK/,https://www.instagram.com/p/BVnKlEvl2WK/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/19366977_109813422970339_7059060346211794944_n.jpg,#nationalyogaday is here and we are doing a #TeamUSA mat giveaway to 2 lucky winners! ?? (Sign up link in bio)
teamusa,711791,6/20/2017 13:01,video,6326,6313,13,50614,https://www.instagram.com/p/BVkatPRF3Q7/,https://www.instagram.com/p/BVkatPRF3Q7/,https://scontent.cdninstagram.com/t51.2885-15/e15/c0.80.640.640/19227726_880427602111556_5601756935993950208_n.jpg,From bobsledder ?? pairs skater! @lagibbs84 is a natural ??????
teamusa,711791,6/20/2017 11:33,photo,7478,7476,2,0,https://www.instagram.com/p/BVkQmlmF3iF/,https://www.instagram.com/p/BVkQmlmF3iF/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.34.1080.1080/19379481_746034505569983_2020015534120108032_n.jpg,??+??=?? Share the beauty of Cali with the world. #FollowtheSun and help @LA2024 bring the Olympic & Paralympic Games to California!
teamusa,711763,6/19/2017 18:45,photo,6505,6500,5,0,https://www.instagram.com/p/BVidSIWlTZb/,https://www.instagram.com/p/BVidSIWlTZb/,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/19228056_989661627804152_5814761144639815680_n.jpg,Victory stopped by the #TeamUSA photo shoot to lend a hand! ?? (link to shop in bio)
