Name,Size at Posting,Created,Type,Likes,Retweets,total,URL,Message,Screen Name,Link 1,Final Link 1,Link 2,Final Link 2
U.S. Olympic Team,1865911,2017-06-30 19:08:27 EDT,photo,127,25,152,https://twitter.com/TeamUSA/status/880926030172745728,".@_king_lil dominates the 100m breaststroke, touching the wall at 1:04.95! ????????? #SCS2017 #Phillips66Nats https://t.co/W6MDr2rrN4",TeamUSA,https://t.co/W6MDr2rrN4,https://twitter.com/TeamUSA/status/880926030172745728/photo/1,,
U.S. Olympic Team,1865911,2017-06-30 18:49:26 EDT,photo,66,16,82,https://twitter.com/TeamUSA/status/880921245608550405,"Phenomenal job by @zane_growth_ee, winner of the men’s 400m freestyle! Coming in strong with a time of 3:44.43! #SCS2017 ?????? https://t.co/q6sQdhdoNF",TeamUSA,https://t.co/q6sQdhdoNF,https://t.co/q6sQdhdoNF,,
U.S. Olympic Team,1865911,2017-06-30 18:22:49 EDT,photo,286,65,351,https://twitter.com/TeamUSA/status/880914546680004608,.@katieledecky claims the ?? in the women’s 400m freestyle! Setting a new #USOpen record of 3:58.44! #SCS2017 #Phillips66Nat ??????? https://t.co/DNItIeKB3v,TeamUSA,https://t.co/DNItIeKB3v,https://twitter.com/TeamUSA/status/880914546680004608/photo/1,,
U.S. Olympic Team,1865911,2017-06-30 18:17:34 EDT,native_video,112,20,132,https://twitter.com/TeamUSA/status/880913226267013121,We're back from #Indy with more @USASwimming action TONIGHT! #SCS2017 ??LIVE on Universal HD https://t.co/0RK52faBOZ,TeamUSA,https://t.co/0RK52faBOZ,https://twitter.com/TeamUSA/status/880913226267013121/video/1,,
U.S. Olympic Team,1865911,2017-06-30 18:00:01 EDT,photo,31,9,40,https://twitter.com/TeamUSA/status/880908811552280577,Tune in on Universal HD now to see #TeamUSA compete at the #SCS2017 presented by @comcast! https://t.co/HNES0DSrqS,TeamUSA,https://t.co/HNES0DSrqS,https://t.co/HNES0DSrqS,,
U.S. Olympic Team,1865911,2017-06-30 17:30:01 EDT,link,45,11,56,https://twitter.com/TeamUSA/status/880901261075169281,Celebrate #July4th in style! Shop the latest #TeamUSA patriotic threads! + get 15% off orders of $60 or more ?? http://go.teamusa.org/2sq8Qya https://t.co/RTw7d5K73q,TeamUSA,http://go.teamusa.org/2sq8Qya,http://www.teamusashop.com/source/bm-teamusaorg-SOC-Twitter-4thofjuly-womens-rwb-6.30.2017,https://t.co/RTw7d5K73q,https://t.co/RTw7d5K73q
U.S. Olympic Team,1865911,2017-06-30 17:06:01 EDT,link,527,176,703,https://twitter.com/TeamUSA/status/880895222070353922,"Happy birthday to the ?? We hope 2017 is just as great as 2016, @MichaelPhelps! ?? http://go.teamusa.org/2tuOEL1 https://t.co/Wf5fnMblB4",TeamUSA,https://t.co/Wf5fnMblB4,https://twitter.com/TeamUSA/status/880895222070353922/photo/1,http://go.teamusa.org/2tuOEL1,http://www.teamusa.org/News/2016/December/26/Celebrating-The-Top-16-Moments-Of-Michael-Phelps-Tremendous-2016
U.S. Olympic Team,1865911,2017-06-30 16:15:05 EDT,link,45,8,53,https://twitter.com/TeamUSA/status/880882403689906176,Laura Zeng is hoping to win her 3??rd consecutive rhythmic all-around championship at #UsaGymChamps this weekend! ?? http://go.teamusa.org/2t8EPzT https://t.co/6QwTCWNxKh,TeamUSA,http://go.teamusa.org/2t8EPzT,http://www.teamusa.org/News/2017/June/30/Five-For-Friday-Gymnastics,https://t.co/6QwTCWNxKh,https://twitter.com/TeamUSA/status/880882403689906176/photo/1
U.S. Olympic Team,1865911,2017-06-30 15:10:06 EDT,link,241,47,288,https://twitter.com/TeamUSA/status/880866047225610240,"TODAY is 28x Olympic medalist, @MichaelPhelps BIRTHDAY! ?? Send him a message to help celebrate! ?? ?? http://go.teamusa.org/2sjAAzm https://t.co/qqiuU0Xk5z",TeamUSA,http://go.teamusa.org/2sjAAzm,http://action.teamusa.org/page/s/happy-birthday-michael-phelps?utm_source=Phelps_Birthday_Twitter_Organic_063017&utm_medium=social&utm_campaign=0,https://t.co/qqiuU0Xk5z,https://t.co/qqiuU0Xk5z
U.S. Olympic Team,1865911,2017-06-30 14:19:17 EDT,link,60,20,80,https://twitter.com/TeamUSA/status/880853261623992322,"“I went out and I felt like I was performing as myself and not a character."" -@Adaripp #PrideMonth ?? http://go.teamusa.org/2upjthc https://t.co/pvxayjugA2",TeamUSA,https://t.co/pvxayjugA2,https://t.co/pvxayjugA2,http://go.teamusa.org/2upjthc,http://www.teamusa.org/News/2017/June/29/Adam-Rippon-When-I-Came-Out-Is-When-I-Started-To-Own-Who-I-Am-As-A-Person
